stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Desktop\助教工作\程設一\final_project\YCY_template\final_project_bundle\tutorial\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.11167] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11168] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11168] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11169] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11170] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11171] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11172] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11173] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11174] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11175] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11176] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11177] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11178] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11186] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11189] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11190] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11191] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11193] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11194] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11195] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11196] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11197] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11198] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11200] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11201] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
